image_id,image_path,class_id,is_train,x,y,width,height
3574,062.Herring_Gull/Herring_Gull_0064_47832.jpg,62,1,141.0,62.0,279.0,178.0
5129,088.Western_Meadowlark/Western_Meadowlark_0081_77798.jpg,88,1,77.0,90.0,336.0,366.0
6096,105.Whip_poor_Will/Whip_Poor_Will_0048_796417.jpg,105,1,1.0,40.0,460.0,294.0
393,008.Rhinoceros_Auklet/Rhinoceros_Auklet_0019_797513.jpg,8,1,52.0,75.0,171.0,177.0
96,002.Laysan_Albatross/Laysan_Albatross_0076_671.jpg,2,1,151.0,23.0,274.0,351.0
1957,035.Purple_Finch/Purple_Finch_0081_27913.jpg,35,1,1.0,84.0,338.0,291.0
8567,146.Forsters_Tern/Forsters_Tern_0077_152255.jpg,146,1,108.0,0.0,391.0,294.0
3888,067.Anna_Hummingbird/Anna_Hummingbird_0021_55763.jpg,67,1,90.0,66.0,380.0,306.0
6423,110.Geococcyx/Geococcyx_0086_104755.jpg,110,1,267.0,224.0,163.0,152.0
6018,103.Sayornis/Sayornis_0002_98596.jpg,103,1,127.0,118.0,144.0,100.0
3693,064.Ring_billed_Gull/Ring_Billed_Gull_0117_51363.jpg,64,1,22.0,48.0,452.0,171.0
267,005.Crested_Auklet/Crested_Auklet_0073_785248.jpg,5,1,209.0,22.0,196.0,128.0
6848,117.Clay_colored_Sparrow/Clay_Colored_Sparrow_0005_110911.jpg,117,1,200.0,148.0,206.0,171.0
6600,113.Baird_Sparrow/Baird_Sparrow_0018_794584.jpg,113,1,232.0,57.0,188.0,222.0
9235,158.Bay_breasted_Warbler/Bay_Breasted_Warbler_0055_159740.jpg,158,1,182.0,65.0,255.0,210.0
3289,057.Rose_breasted_Grosbeak/Rose_Breasted_Grosbeak_0062_39234.jpg,57,1,20.0,119.0,305.0,227.0
115,002.Laysan_Albatross/Laysan_Albatross_0018_492.jpg,2,1,183.0,80.0,237.0,200.0
